Company,Role,Location,JOB URL
Accenture DACH,Manufacturing Systems Specialist PAS-X (all genders),"Berlin, Germany",https://www.linkedin.com/jobs/view/4360866337/
SAEKI,Manufacturing Lead: Quality and Metrology,"Munich, Germany",https://www.linkedin.com/jobs/view/4381715224/
Thales,Digitalization Engineer,"Barcelona, Spain",https://www.linkedin.com/jobs/view/4404999638/
Rheinmetall,Digital Manufacturing Engineer (m/w/d),"Neuss, North Rhine-Westphalia, Germany",https://www.linkedin.com/jobs/view/4410307021/
AT&S,Manufacturing Execution Systems Engineer,"Leoben, Austria",https://www.linkedin.com/jobs/view/4413693093/
Rolls-Royce Power Systems AG,MES Solutions Specialist (m/w/d),"Friedrichshafen, Germany",https://www.linkedin.com/jobs/view/4416186264/
ARX Robotics,Manufacturing Digitalization Specialist (m/f/d),"Munich, Germany",https://www.linkedin.com/jobs/view/4417966219/
OSTP Group,Manufacturing data specialist,"Örnsköldsvik, Sweden",https://www.linkedin.com/jobs/view/4423635707/
Danone,Digital Transformation Specialist,"Zoetermeer, Netherlands",https://www.linkedin.com/jobs/view/4425788906/
Siemens Energy,"Digitalization, AI & Operational Excellence Specialist (m/f/d)","Linz, Austria",https://www.linkedin.com/jobs/view/4426636233/
Harmattan AI,Manufacturing Automation and Digitalization Engineer,"Orly, France",https://www.linkedin.com/jobs/view/4426773098/
Between Technology,Ingeniero/a de Digitalización Industrial (Industrial AI),"Zaragoza, Spain",https://www.linkedin.com/jobs/view/4429895806/
Grupo Avintia,Responsable de industrial digital,"Madrid, Spain",https://www.linkedin.com/jobs/view/4430115635/
Siemens,Consultant (f/m/d) Smart Manufacturing,"Erlangen, Germany",https://www.linkedin.com/jobs/view/4430567994/
Airbus Helicopters,"Manufacturing Engineer: Process, Methods and Digital Tools","Albacete, Spain",https://www.linkedin.com/jobs/view/4430886302/
Danfoss,Manufacturing System and Solution Consultant,"Nordborg, Denmark",https://www.linkedin.com/jobs/view/4430902751/
CIMPA PLM Services,Manufacturing Digital Consultant,"Madrid, Spain",https://www.linkedin.com/jobs/view/4430906969/
Luxoft Spain,Industrial Data Engineer,"Madrid, Spain",https://www.linkedin.com/jobs/view/4430911721/
Luxoft Spain,Industrial Data Analyst,"Madrid, Spain",https://www.linkedin.com/jobs/view/4430912050/
Teoresi Group,Data and Analytics Engineer (m/w/d) – Autonomous Driving,"Greater Munich Metropolitan Area, Germany",https://www.linkedin.com/jobs/view/4430928156/
tesa SE,Data & Analytics Manager Global Operations,"Hamburg, Germany",https://www.linkedin.com/jobs/view/4431531206/
Deep Digital Solutions Group,Senior Specialist - Industry 4.0 & Manufacturing Data,"Cork, Ireland",https://www.linkedin.com/jobs/view/4431663908/
Siemens Advanta,Consultant (f/m/d) Smart Manufacturing,"Bavaria, Germany",https://www.linkedin.com/jobs/view/4431715696/
Accenture España,Industry X - Manufacturing Engineer (MES),"Madrid, Spain",https://www.linkedin.com/jobs/view/4431720124/
Deltia,Manufacturing Data Analyst,"Berlin, Germany",https://www.linkedin.com/jobs/view/4432256791/
SAAB Group,Industrial IoT / OT Data Engineer,"Linköping, Sweden",https://www.linkedin.com/jobs/view/4432658297/
Rheinmetall,Data Engineer (m/w/d),"Weeze, Germany",https://www.linkedin.com/jobs/view/4433005912/
Valeo,Ingeniero/a Industrial & Automatización de Procesos,"Martos, Spain",https://www.linkedin.com/jobs/view/4433277318/
Magna International,Industry 4.0 Engineer,"Barcelona, Spain",https://www.linkedin.com/jobs/view/4433302352/
Accenture France,Lead Data Manufacturing F/H,"Paris, France",https://www.linkedin.com/jobs/view/4433579137/
Fervimax Group,Industrial Data Analyst,"Madrid, Spain",https://www.linkedin.com/jobs/view/4434013288/
Rheinmetall,Data & Analytics Business Partner,"Madrid, Spain",https://www.linkedin.com/jobs/view/4435514335/
CAREL,Digital Manufacturing Specialist,"Brugine, Veneto, Italy",https://www.linkedin.com/jobs/view/4435817719/
Armacell,MES Solutions Specialist,Not specified,https://www.linkedin.com/jobs/view/4436584887/
Hitachi Energy,Digitalization and Automation Factory Specialist / Lead,"Vaasa, Finland",https://www.linkedin.com/jobs/view/4437422220/
